Spanish,English
de,of
que,that
no,No
a,to
la,the
el,he
y,and
es,is
en,in
lo,it
un,a
por,by
qué,what
me,I
una,a
los,the
escuela,school
perro,dog
con,with
para,for
está,this
mi,my
pero,but
sí,Yeah
algunos,some
bien,good
eso,that
su,his
las,the
yo,I
del,of the
como,as
aquí,here
tu,you
caliente,hot
más,more
madre,mother
esto,this
todo,all
ya,already
estoy,I'm
ahora,now
muy,very
aprovechar,leverage
esta,this
así,So
vamos,come on
algo,something
hay,there is
bueno,Well
tengo,I have
él,he
cuando,when
mundo,world
de nuevo,again
tú,you
nos,us
nada,nothing
cómo,as
este,this
luz,light
por qué,because
ser,be
tiene,has
puedo,I can
ella,she
quiero,wanna
hacer,do
fue,was
gracias,thank you
vez,time
era,was
soy,am
sólo,only
todos,all
porque,because
son,are
tienes,have
creo,believe
voy,go
sabes,You know
estaba,was
puede,can
eres,you are
ese,that
usted,you
entonces,so
hola,hello
solo,only
verdad,TRUE
casa,home
tan,so
quién,who
sus,their
tiempo,time
dos,two
esa,that
nunca,never
dónde,where
va,goes